2024-10-19 11:51:31,137 INFO    Thread-24 (_run_job):22536 [wandb_setup.py:_flush():79] Current SDK version is 0.18.3
2024-10-19 11:51:31,141 INFO    Thread-24 (_run_job):22536 [wandb_setup.py:_flush():79] Configure stats pid to 22536
2024-10-19 11:51:31,141 INFO    Thread-24 (_run_job):22536 [wandb_setup.py:_flush():79] Loading settings from C:\Users\31614\.config\wandb\settings
2024-10-19 11:51:31,141 INFO    Thread-24 (_run_job):22536 [wandb_setup.py:_flush():79] Loading settings from C:\Users\31614\Documents\AI_course_stuff\RLForaging Thesis\RLForagingAgents\RL-models\TD3\wandb\settings
2024-10-19 11:51:31,141 INFO    Thread-24 (_run_job):22536 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'project': 'Pendulum-TD3', 'entity': 'senna-renting-radboud-university', 'root_dir': 'C:\\Users\\31614\\Documents\\AI_course_stuff\\RLForaging Thesis\\RLForagingAgents\\RL-models\\TD3', 'run_id': 'd5qasp10', 'sweep_param_path': 'C:\\Users\\31614\\Documents\\AI_course_stuff\\RLForaging Thesis\\RLForagingAgents\\RL-models\\TD3\\wandb\\sweep-6gyzlnr9\\config-d5qasp10.yaml', 'sweep_id': '6gyzlnr9'}
2024-10-19 11:51:31,147 INFO    Thread-24 (_run_job):22536 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-10-19 11:51:31,147 INFO    Thread-24 (_run_job):22536 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-10-19 11:51:31,147 INFO    Thread-24 (_run_job):22536 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-10-19 11:51:31,147 INFO    Thread-24 (_run_job):22536 [wandb_init.py:_log_setup():532] Logging user logs to C:\Users\31614\Documents\AI_course_stuff\RLForaging Thesis\RLForagingAgents\RL-models\TD3\wandb\run-20241019_115131-d5qasp10\logs\debug.log
2024-10-19 11:51:31,147 INFO    Thread-24 (_run_job):22536 [wandb_init.py:_log_setup():533] Logging internal logs to C:\Users\31614\Documents\AI_course_stuff\RLForaging Thesis\RLForagingAgents\RL-models\TD3\wandb\run-20241019_115131-d5qasp10\logs\debug-internal.log
2024-10-19 11:51:31,147 INFO    Thread-24 (_run_job):22536 [wandb_init.py:_jupyter_setup():478] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000001F32BC97DD0>
2024-10-19 11:51:31,150 INFO    Thread-24 (_run_job):22536 [wandb_init.py:init():617] calling init triggers
2024-10-19 11:51:31,150 INFO    Thread-24 (_run_job):22536 [wandb_init.py:init():624] wandb.init called with sweep_config: {'batch_size': 256, 'buffer_size': 50000, 'gamma': 0.99, 'lr_actor': 4.594533471778685e-05, 'lr_critic': 2.1240079542104386e-05, 'max_length_episode': 200, 'noise_clip': 1.7455817105349378, 'num_episodes': 100, 'policy_interval': 2, 'sigma': 0.24292820602353293, 'sigma_explore': 0.8632184773413141, 'tau': 0.10441567332934808, 'update_interval': 1}
config: {}
2024-10-19 11:51:31,150 INFO    Thread-24 (_run_job):22536 [wandb_init.py:init():667] starting backend
2024-10-19 11:51:31,150 INFO    Thread-24 (_run_job):22536 [wandb_init.py:init():671] sending inform_init request
2024-10-19 11:51:31,161 INFO    Thread-24 (_run_job):22536 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-10-19 11:51:31,162 INFO    Thread-24 (_run_job):22536 [wandb_init.py:init():684] backend started and connected
2024-10-19 11:51:31,182 INFO    Thread-24 (_run_job):22536 [wandb_run.py:_config_callback():1394] config_cb None None {'batch_size': 256, 'buffer_size': 50000, 'gamma': 0.99, 'lr_actor': 4.594533471778685e-05, 'lr_critic': 2.1240079542104386e-05, 'max_length_episode': 200, 'noise_clip': 1.7455817105349378, 'num_episodes': 100, 'policy_interval': 2, 'sigma': 0.24292820602353293, 'sigma_explore': 0.8632184773413141, 'tau': 0.10441567332934808, 'update_interval': 1}
2024-10-19 11:51:31,183 INFO    Thread-24 (_run_job):22536 [wandb_run.py:_label_probe_notebook():1346] probe notebook
2024-10-19 11:51:31,183 INFO    Thread-24 (_run_job):22536 [wandb_run.py:_label_probe_notebook():1356] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-10-19 11:51:31,183 INFO    Thread-24 (_run_job):22536 [wandb_init.py:init():779] updated telemetry
2024-10-19 11:51:31,231 INFO    Thread-24 (_run_job):22536 [wandb_init.py:init():812] communicating run to backend with 90.0 second timeout
2024-10-19 11:51:31,453 INFO    Thread-24 (_run_job):22536 [wandb_init.py:init():863] starting run threads in backend
2024-10-19 11:51:32,227 INFO    Thread-24 (_run_job):22536 [wandb_run.py:_console_start():2465] atexit reg
2024-10-19 11:51:32,228 INFO    Thread-24 (_run_job):22536 [wandb_run.py:_redirect():2313] redirect: wrap_raw
2024-10-19 11:51:32,228 INFO    Thread-24 (_run_job):22536 [wandb_run.py:_redirect():2378] Wrapping output streams.
2024-10-19 11:51:32,228 INFO    Thread-24 (_run_job):22536 [wandb_run.py:_redirect():2403] Redirects installed.
2024-10-19 11:51:32,229 INFO    Thread-24 (_run_job):22536 [wandb_init.py:init():907] run started, returning control to user process
2024-10-19 12:18:35,221 INFO    Thread-24 (_run_job):22536 [wandb_run.py:_finish():2164] finishing run senna-renting-radboud-university/Pendulum-TD3/d5qasp10
2024-10-19 12:18:35,221 INFO    Thread-24 (_run_job):22536 [jupyter.py:save_history():459] not saving jupyter history
2024-10-19 12:18:35,221 INFO    Thread-24 (_run_job):22536 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2024-10-19 12:18:35,221 INFO    Thread-24 (_run_job):22536 [wandb_init.py:_jupyter_teardown():460] cleaning up jupyter logic
2024-10-19 12:18:35,221 INFO    Thread-24 (_run_job):22536 [wandb_run.py:_atexit_cleanup():2428] got exitcode: 0
2024-10-19 12:18:35,221 INFO    Thread-24 (_run_job):22536 [wandb_run.py:_restore():2410] restore
2024-10-19 12:18:35,221 INFO    Thread-24 (_run_job):22536 [wandb_run.py:_restore():2416] restore done
2024-10-19 12:18:37,572 INFO    Thread-24 (_run_job):22536 [wandb_run.py:_footer_history_summary_info():4049] rendering history
2024-10-19 12:18:37,572 INFO    Thread-24 (_run_job):22536 [wandb_run.py:_footer_history_summary_info():4081] rendering summary
2024-10-19 12:18:37,586 INFO    Thread-24 (_run_job):22536 [wandb_run.py:_footer_sync_info():4008] logging synced files
